title,description,instructions,cuisine,dishtype,mark,images,timetocook,mealtype
Chinese Steamed Buns,"""Here's some yummy, Chinese dim sum you can make, either plain without meat fillings, or with meat fillings. A wok equipped with a stainless steel steam plate, a plate with holes to allow steam to pass, is required to make these tasty buns. You may use milk in place of the warm water if you wish.""","Prep30 m
Cook30 m
Ready In4 h
 Mix together yeast, 1 teaspoon sugar, 1/4 cup flour, and 1/4 cup warm water.  Allow to stand for 30 minutes.
 Mix in 1/2 cup warm water, flour, salt, 2 tablespoons sugar, and vegetable oil.  Knead until dough surface is smooth and elastic.  Roll over in a greased bowl, and let stand until triple in size, about 2 1/2 to 3 hours.
 Punch down dough, and spread out on a floured board.  Sprinkle baking powder evenly on surface, and knead for 5 minutes.  Divide dough into 2 parts, and place the piece you are not working with in a covered bowl.  Divide each half into 12 parts. Shape each part into a ball with smooth surface up. Put each ball on a wax paper square.   Let stand covered until double, about 30 minutes.
 Bring water to a boil in wok, and reduce heat to medium; the water should still be boiling.  Place steam-plate on a small wire rack in the middle of the wok. Transfer as many buns on wax paper as will comfortably fit onto steam-plate leaving 1 to 2 inches between the buns.  At least 2 inches space should be left between steam-plate and the wok.  Cover wok with lid.  Steam buns over boiling water for 15 minutes.
REMOVE LID BEFORE you turn off heat, or else water will drip back onto bun surface and produce yellowish ""blisters"" on bun surfaces. Continue steaming batches of buns until all are cooked.",Chinese,Bread Recipes,green,"{https://images.media-allrecipes.com/userphotos/560x315/1121464.jpg,https://images.media-allrecipes.com/userphotos/125x70/1121464.jpg}",4:0:00,
Chinese Style Sesame Sauce,"""This is the SAUCE for Chinese restaurant style sesame chicken and broccoli. This sauce can be poured over fried chicken, or used as a dipping sauce for fried chicken. I emphasize not using too much vinegar because it turns into a sweet-n-sour type sauce. But you do need a 'touch' of vinegar.""","Prep10 m
Cook10 m
Ready In20 m
            
  In a saucepan, mix together sugar and cornstarch. Stir in chicken broth, water, vinegar, soy sauce, sesame oil, chile paste, and garlic. Bring to a boil over medium heat, stirring constantly. Reduce heat, and simmer 5 minutes.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/5287329.jpg,https://images.media-allrecipes.com/userphotos/125x70/5287329.jpg}",0:20:00,
Chinese-Style Baby Bok Choy with Mushroom Sauce,"""This is a delicious dish. It is an authentic Chinese recipe that I use for my cooking. Baby bok choy and mushroom are the two main ingredients. ""","Prep20 m
Cook15 m
Ready In35 m
            
In a bowl, mix together the oyster sauce, soy sauce, and brown sugar until the sugar has dissolved. Mix the potato starch and water in a small bowl, and stir it into the oyster sauce mixture until smooth.
                            
  Fill a pot with water, bring to a boil, and stir in salt and vegetable oil. Place the bok choy into the boiling water, and cook until tender, shiny, and bright green, 2 to 3 minutes. Drain the bok choy, and arrange attractively on a serving platter.
                            
  Heat the olive oil in a large skillet or wok until the oil shimmers, then toss the green onion and garlic in the hot oil until fragrant, about 20 seconds; stir in the mushrooms. Cook and stir until the mushrooms begin to shrink slightly. Sprinkle the mushrooms lightly with salt. Continue to cook the mushrooms, stirring often, until they are tender, about 5 minutes. Pour in the oyster sauce mixture, then stir until the sauce is thickened and coats the mushrooms, 30 seconds to 1 minute. Pour the thickened mushroom sauce over the bok choy; serve immediately.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/609337.jpg,https://images.media-allrecipes.com/userphotos/125x70/609337.jpg}",0:35:00,
Crab Rangoon I,"""Everyone will love these bite-size, fried dumplings stuffed with crab. You can make these in advance of the festivities, and freeze on trays until party time.""","Prep20 m
Cook10 m
Ready In30 m
 Heat oil in a large heavy skillet or deep fryer to 360 degrees F (180 degrees C).
 In a small bowl, mix together cream cheese, soy sauce, ginger, garlic, parsley, cilantro and crabmeat.
                            
 Place 1/2 to 1 teaspoon of the cream cheese mixture into the center of each wonton wrapper. Fold the won ton wrapper over the stuffing to make a triangle or a half moon, depending on the shape of the won ton wrappers you have purchased. Moisten the edges with a little water, and seal.  Place prepared won tons under a slightly moist paper towel until ready for frying.
                            
  Add 3 or 4 wontons to the hot oil, and cook until golden brown, turning once. Set aside on paper towels to drain. Repeat until all wontons have been fried.  Serve hot.",Chinese,Appetizers & Snacks,red,"{https://images.media-allrecipes.com/userphotos/560x315/1482086.jpg,https://images.media-allrecipes.com/userphotos/125x70/1482086.jpg}",0:30:00,
Crispy Ginger Beef,"""This recipe is so much better than take out! Serve it with homemade fried rice or plain rice. If you like spicy, just add more chili pepper flakes!""","Prep25 m
Cook20 m
Ready In45 m
 Place cornstarch in a large bowl; gradually whisk in water until smooth. Whisk eggs into cornstarch mixture; toss steak strips in mixture to coat.
  Pour canola oil into wok 1-inch deep; heat oil over high heat until hot but not smoking. Place 1/4 of the beef strips into hot oil; separate strips with a fork. Cook, stirring frequently, until coating is crisp and golden, about 3 minutes. Remove beef to drain on paper towels; repeat with remaining beef.
  Drain off all but 1 tablespoon oil; cook and stir carrot, green bell pepper, red bell pepper, green onions, ginger, and garlic over high heat until lightly browned but still crisp, about 3 minutes.
 Whisk sugar, rice vinegar, soy sauce, sesame oil, and red pepper together in a small bowl. Pour sauce mixture over vegetables in wok; bring mixture to a boil. Stir beef back into vegetable mixture; cook and stir just until heated through, about 3 minutes.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/5307100.jpg,https://images.media-allrecipes.com/userphotos/125x70/5307100.jpg}",0:45:00,
Crispy Orange Beef,"""A delicious crispy and sweet, yet mildly spiced beef stir-fry recipe. Great served with steamed rice and broccoli.""","Prep20 m
Cook15 m
Ready In1 h 5 m
 Lay beef strips out in a single layer on a baking sheet lined with paper towels. Allow to dry in the refrigerator for 30 minutes. In a small bowl, mix together the sugar, rice vinegar, orange juice concentrate, salt and soy sauce. Set aside.
 Meanwhile, combine rice and water in a medium saucepan. Bring to a boil, then reduce heat to medium-low and simmer for 20 minutes, or until rice is tender. Add more water at the end if necessary.
 Heat oil in a wok over medium-high heat. Toss dried beef in cornstarch to coat. Fry in the hot oil in small batches until crispy and golden brown; set aside. Drain all of the oil from the wok except about 1 tablespoon.
 Add orange zest, ginger and garlic to the remaining oil, and cook briefly until fragrant. Add the soy sauce mixture to the wok, bring to a boil, and cook until thick and syrupy, about 5 minutes. Add beef, and heat through, stirring to coat. Serve immediately over steamed rice, and garnish with broccoli.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/1028228.jpg,https://images.media-allrecipes.com/userphotos/125x70/1028228.jpg}",1:5:00,
Easy Chinese Corn Soup,"""This quick and easy soup is so good that I never bother ordering it from Chinese restaurants anymore!""","Prep5 m
Cook10 m
Ready In15 m
In a saucepan, combine the cream style corn and chicken broth. Bring to a boil over medium-high heat. In a small bowl or cup, mix together the cornstarch and water; pour into the boiling corn soup, and continue cooking for about 2 minutes, or until thickened. Gradually add the beaten egg while stirring the soup. Remove from heat and serve.",Chinese,"Soups, Stews, and Chili",red,"{https://images.media-allrecipes.com/userphotos/560x315/587930.jpg,https://images.media-allrecipes.com/userphotos/125x70/587930.jpg}",0:15:00,
Egg Drop Soup (Better than Restaurant Quality!),"""After many many trips to different Chinese restaurants looking for a good bowl of egg drop soup, I decided to take it upon myself to create what I feel is the ultimate in egg drop soup. I hope you enjoy it as much as I do!""","Prep5 m
Cook5 m
Ready In10 m
 In a small saucepan, combine the chicken broth, soy sauce and sesame oil. Bring to a boil. Stir together the cornstarch and water to dissolve cornstarch; pour into the boiling broth. Stir gently while you pour in the egg and yellow food coloring if using. Season with chives, salt and pepper before serving.",Chinese,"Soups, Stews, and Chili",red,{https://images.media-allrecipes.com/userphotos/125x70/972459.jpg},0:10:00,
Egg Drop Soup I,"""A family favorite when we're sick.  Garnish with parsley flakes and serve with soy sauce.  Better than chicken soup!""","In a medium saucepan, combine water, bouillon, and parsley and onion flakes.  Bring to a boil.
                            
 Lightly beat eggs together. Gradually stir into soup.
                            
 Remove about half a cup of the soup.  Stir in cornstarch until there are no lumps, and return to the soup.  Boil until soup thickens.",Chinese,"Soups, Stews, and Chili",red,"{https://images.media-allrecipes.com/userphotos/250x250/143626.jpg,https://images.media-allrecipes.com/userphotos/125x70/143626.jpg}",0:20:00,
Egg Drop Soup II,"""This is a quick and easy recipe that tastes really good.  To add a little more to this soup add one small (7 to 8 ounce) can creamed corn and omit the egg.""","In a medium stock pot, mix cold chicken broth with cornstarch. Slowly heat over medium heat, stirring frequently.
                            
Pour beaten egg into soup, and stir once around stock pot very gently, in order to break up egg. Remove soup from heat immediately, divide into four portions and garnish with green onions.",Chinese,"Soups, Stews, and Chili",red,"{https://images.media-allrecipes.com/userphotos/560x315/2918090.jpg,https://images.media-allrecipes.com/userphotos/125x70/2918090.jpg}",0:20:00,
Eggplant with Garlic Sauce,"""A mildly spicy (or very spicy if you like) eggplant dish. My mother has been making this for me since I was a child. It is SO GOOD!!""","Prep10 m
Cook15 m
Ready In25 m
            
    
 Heat the canola oil in a skillet over high heat. Cook and stir the eggplant until soft, about 4 minutes. Stir in the water, red pepper flakes, and garlic powder. Cover and simmer until all the water is absorbed. Meanwhile, mix sugar, cornstarch, soy sauce, and oyster sauce in a bowl until sugar and cornstarch have dissolved. Stir sauce into the eggplant, making sure to evenly coat the eggplant. Cook until the sauce has thickened.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/416924.jpg,https://images.media-allrecipes.com/userphotos/125x70/416924.jpg}",0:25:00,
Flavorful Beef Stir-Fry,"""A beef stir-fry that has wonderful flavors without using a ton of spices. Fresh ginger mixes will with the soy sauce and makes a quick and easy sauce. Lots of veggies add color and crunch.""","Prep10 m
Cook1 h
Ready In1 h 10 m
            
 Bring brown rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender, and liquid has been absorbed, 45 to 50 minutes.
                            
                        
 Combine cornstarch, sugar, soy sauce, and wine in a small bowl until smooth. Stir in ginger; toss beef in sauce to coat.
                            
 Heat 1 tablespoon oil in a large skillet over medium-high heat. Cook and stir broccoli, carrots, pea pods, and onion for 1 minute. Stir in water chestnuts, Chinese cabbage, and bok choy; cover and simmer until vegetables are tender, about 4 minutes. Remove from skillet and keep warm.
                            
                        
 In same skillet, heat 1 tablespoon oil over medium-high heat. Cook and stir beef until desired degree of doneness, about 2 minutes per side for medium. Return vegetables to skillet; cook and stir until heated through, about 3 minutes. Serve over rice.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/3759728.jpg,https://images.media-allrecipes.com/userphotos/125x70/3759728.jpg}",1:10:00,
Honey Walnut Shrimp,"""Hong Kong Style Chinese recipe! Crispy battered shrimp tossed in creamy sauce topped with sugar coated walnuts""","Prep15 m
Cook15 m
Ready In30 m
 Stir together the water and sugar in a small saucepan. Bring to a boil and add the walnuts. Boil for 2 minutes, then drain and place walnuts on a cookie sheet to dry.
 Whip egg whites in a medium bowl until foamy. Stir in the mochiko until it has a pasty consistency. Heat the oil in a heavy deep skillet over medium-high heat. Dip shrimp into the mochiko batter, and then fry in the hot oil until golden brown, about 5 minutes. Remove with a slotted spoon and drain on paper towels.
  In a medium serving bowl, stir together the mayonnaise, honey and sweetened condensed milk. Add shrimp and toss to coat with the sauce. Sprinkle the candied walnuts on top and serve.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/270515.jpg},0:30:00,
Hot and Sour Chinese Eggplant,"""Eggplant is sauteed, then coated in a spicy sweet sauce. It is simple and delicious! I'm sure you'll enjoy this!""","Prep30 m
Cook5 m
Ready In35 m
Place the eggplant cubes into a large bowl, and sprinkle with salt. Fill with enough water to cover, and let stand for 30 minutes. Rinse well, and drain on paper towels.
In a small bowl, stir together the soy sauce, red wine vinegar, sugar, chili pepper, cornstarch and chili oil. Set the sauce aside.
Heat the vegetable oil in a large skillet or wok over medium-high heat. Fry the eggplant until it is tender and begins to brown, 5 to 10 minutes. Pour in the sauce, and cook and stir until the sauce is thick and the eggplant is evenly coated. Serve immediately.",Chinese,Side Dish,green,"{https://images.media-allrecipes.com/userphotos/560x315/3314667.jpg,https://images.media-allrecipes.com/userphotos/125x70/3314667.jpg}",0:35:00,
Hot and Tangy Broccoli Beef,"""Tangy and spicy beef and broccoli are a winning combination in this quick stir-fry dinner.""","Cut beef across grain into thin slices. Combine 1 Tbsp. each cornstarch and soy sauce with garlic and sugar in medium bowl; stir in beef. Let stand 10 minutes.
                            
Meanwhile, remove flowerets from broccoli; cut into bite-size pieces. Peel stalks; cut diagonally into thin slices.
                            
Combine 1 cup water, remaining 2 Tbsp. soy sauce, 4 teaspoons cornstarch and crushed red pepper in small bowl. Set aside.
Heat 1 Tbsp. oil in hot wok or large skillet over high heat. Add beef and stir-fry 1 minute; remove.
                            
Heat remaining 2 Tbsp. oil in same pan. Add broccoli and onion; stir-fry 2 minutes. Sprinkle 1 Tbsp. water over vegetables; cover and cook 2 minutes, stirring occasionally.
                            
Add beef and soy sauce mixture; cook and stir until sauce boils and thickens. Remove from heat; stir in vinegar.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/5181687.jpg,https://images.media-allrecipes.com/userphotos/125x70/5181687.jpg}",0:35:00,
Kikkoman Chinese Pepper Steak,"""Beef strips are stir-fried with onion and peppers in this quick stove-top meal. Serve with your favorite rice or noodles.""","Cut steak across grain into thin strips, then into 1-inch squares; coat with 1 Tbsp. hoisin sauce.
Heat 1 Tbsp. oil in hot wok or large skillet over high heat. Add beef and stir-fry about 1 minute; remove.
Heat remaining 1 Tbsp. oil in same pan. Add peppers and onions; stir-fry 5 minutes. Stir in beef and remaining 1/4 cup hoisin sauce; cook and stir just until beef and vegetables are coated with sauce. Serve immediately.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/6293324.jpg,https://images.media-allrecipes.com/userphotos/125x70/6293324.jpg}",0:35:00,
Mongolian Beef and Spring Onions,"""A soy-based Chinese-style beef dish. Best served over soft rice noodles or rice.""","Prep12 m
Cook8 m
Ready In30 m
            
 Heat 2 teaspoons of vegetable oil in a saucepan over medium heat, and cook and stir the garlic and ginger until they release their fragrance, about 30 seconds. Pour in the soy sauce, water, and brown sugar. Raise the heat to medium-high, and stir 4 minutes, until the sugar has dissolved and the sauce boils and slightly thickens. Remove sauce from the heat, and set aside.
                            
  Place the sliced beef into a bowl, and stir the cornstarch into the beef, coating it thoroughly. Allow the beef and cornstarch to sit until most of the juices from the meat have been absorbed by the cornstarch, about 10 minutes.
Heat the vegetable oil in a deep-sided skillet or wok to 375 degrees F (190 degrees C).
                            
  Shake excess cornstarch from the beef slices, and drop them into the hot oil, a few at a time. Stir briefly, and fry until the edges become crisp and start to brown, about 2 minutes. Remove the beef from the oil with a large slotted spoon, and allow to drain on paper towels to remove excess oil.
  Pour the oil out of the skillet or wok, and return the pan to medium heat. Return the beef slices to the pan, stir briefly, and pour in the reserved sauce. Stir once or twice to combine, and add the green onions. Bring the mixture to a boil, and cook until the onions have softened and turned bright green, about 2 minutes.",Chinese,Side Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/7317087.jpg},0:30:00,
Mongolian Beef I,"""A simple but spicy dish with beef, carrots and green onions. Serve over rice for a very filling meal.""","Prep35 m
Cook10 m
Ready In45 m
  In a dry skillet over medium heat, toast sesame seeds for 1 to2 minutes, or until the seeds begin to turn golden brown; set aside.
   In a medium bowl, mix together 1 tablespoon soy sauce, 1 tablespoon cornstarch, and minced garlic. Stir in beef strips. Let stand for at least 10 minutes.
  In a separate small bowl, mix together water, 2 tablespoons soy sauce, 2 1/2 teaspoons cornstarch, sugar, sesame seeds, and red pepper flakes; set aside.
  Heat 1 tablespoon of oil in a wok or skillet over high heat. Cook and stir beef in hot oil for 1 minute; remove, and set aside. Heat remaining tablespoon of oil in the same pan. Saute carrots and white part of green onions for 2 minutes. Stir in green parts of the green onion, and saute for 1 minute. Stir in sesame seed mixture and beef. Cook and stir until sauce boils and thickens.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/6263299.jpg,https://images.media-allrecipes.com/userphotos/125x70/6263299.jpg}",0:45:00,
Mongolian Beef II,"""Savory strips of sirloin roast are soaked in a spicy marinade and sauteed with green onions. Serve over steamed rice or fried rice noodles.""","Prep20 m
Cook20 m
Ready In1 h
 Partially freeze the roast for easier slicing. Slice the roast into 3x1/2 inch strips, and set aside.
   In a large bowl, combine well the soy sauce, sherry, sesame oil, cornstarch, brown sugar, crushed red pepper and whole chili peppers. Place beef in the mixture and coat well. Cover and refrigerate for 20 to 30 minutes.
   Heat 2 tablespoons of the oil in a large skillet or wok over medium high heat. Place green onions in the hot oil. Cover, reduce heat to low and cook 6 minutes, or until tender. Remove green onions and set aside.
   In the same skillet or wok, heat remaining 1/4 cup of oil over medium high heat. Add beef mixture and saute for 5 minutes, or until the beef is thoroughly cooked. Return green onions to the pan and saute for 30 seconds more, or until heated through.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/297149.jpg,https://images.media-allrecipes.com/userphotos/125x70/297149.jpg}",1:0:00,
Pan-Fried Chinese Pancakes,"""A delicious brunch snack that can be found in many Chinese breakfast shops.  Its various names include 'cong you bing,' 'jiu cai bing,', 'scallion pancakes,' 'green onion pancakes,' etc.  This particular recipe is passed down through my mother's family, and brings back many good, yummy memories! Can serve with hot-sour sauce, or your favorite Chinese sauce.""","Prep30 m
Cook40 m
Ready In1 h 10 m
   Dissolve salt in warm water, and mix in 1 cup of flour to make a soft dough. Turn the dough out onto a well-floured work surface, and knead until slightly springy, about 5 minutes. If the dough is sticky, knead in 1/4 teaspoon of vegetable oil. Divide the dough into 8 equal-size pieces, and keep the pieces covered with a cloth.
  In a bowl, mix 1/4 cup of flour with 1 tablespoon vegetable oil to make a mixture like fine crumbs.
    On a floured work surface, roll a piece of dough out into a thin square about 5x7 inches in size, brush the dough with toasted sesame oil, and sprinkle lightly with about 1 1/2 teaspoon of the flour-oil mixture. Sprinkle about 1 tablespoon of chopped green onion onto the dough, and spread the onion out evenly. Starting with a long end, roll the dough up into a rope shape, and pinch the seam and the ends closed. Roll the rope shape into a flat spiral, and press lightly with your hands to compact the spiral and keep it from unrolling.
    Place the spiral down onto the floured work surface, and gently roll it out into a pancake with the onions folded inside, turning the pancake over often as you roll it out. Roll gently and turn often to avoid making holes in the pancakes. Finished pancakes should be about 5 inches in diameter. Repeat with the rest of the dough pieces, making 8 onion pancakes.
     Heat a non-stick skillet over medium heat, and brush with vegetable oil. Pan-fry each pancake in the hot skillet until golden brown on both sides, about 5 minutes per side. Cut into wedges and serve warm.",Chinese,Bread Recipes,green,"{https://images.media-allrecipes.com/userphotos/250x250/401958.jpg,https://images.media-allrecipes.com/userphotos/125x70/401958.jpg}",1:10:00,
