id,quantity,directions,ingredient_name_id,recipe_name_id
235,1/2 cup,,walnut,Honey Walnut Shrimp
236,4,made into eggwhite,egg,Honey Walnut Shrimp
237,2/3 cup,glutinous,rice flour,Honey Walnut Shrimp
238,1/4 cup,,mayonnaise,Honey Walnut Shrimp
239,1 pound,large,shrimp,Honey Walnut Shrimp
240,2 tablespoons,,honey,Honey Walnut Shrimp
241,1 tablespoon,canned sweetened,condensed milk,Honey Walnut Shrimp
242,1 cup,for frying,vegetable oil,Honey Walnut Shrimp
243,2,chinese,eggplant,Hot and Sour Chinese Eggplant
244,1 1/2 tablespoons,,soy sauce,Hot and Sour Chinese Eggplant
245,1 tablespoon,preferably red,wine vinegar,Hot and Sour Chinese Eggplant
246,1 tablespoon,,sugar,Hot and Sour Chinese Eggplant
247,1,green,chili pepper,Hot and Sour Chinese Eggplant
248,1 teaspoon,,cornstarch,Hot and Sour Chinese Eggplant
249,1/2 teaspoon or to taste,,chili oil,Hot and Sour Chinese Eggplant
250,2 teaspoons,,salt,Hot and Sour Chinese Eggplant
251,2 tablespoons,,vegetable oil,Hot and Sour Chinese Eggplant
252,3/4 pound,boneless tender,beef steak,Hot and Tangy Broccoli Beef
253,1 tablespoon,,cornstarch,Hot and Tangy Broccoli Beef
254,3 tablespoons,kikkoman preferably,soy sauce,Hot and Tangy Broccoli Beef
255,1 clove,large,garlic,Hot and Tangy Broccoli Beef
256,1/2 teaspoon,,sugar,Hot and Tangy Broccoli Beef
257,1 pound,fresh,broccoli,Hot and Tangy Broccoli Beef
258,4 teaspoons,,cornstarch,Hot and Tangy Broccoli Beef
259,1/2 teaspoon,crushed,red pepper flake,Hot and Tangy Broccoli Beef
260,3 tablespoons,divided,vegetable oil,Hot and Tangy Broccoli Beef
261,1,medium,onion flake,Hot and Tangy Broccoli Beef
262,2 teaspoons,kikkoman preferably,rice vinegar,Hot and Tangy Broccoli Beef
263,1 pound,sirloin or round,beef steak,Kikkoman Chinese Pepper Steak
264,1 tablespoon,kikkoman preferably,hoisin sauce,Kikkoman Chinese Pepper Steak
265,2 tablespoons,divided,vegetable oil,Kikkoman Chinese Pepper Steak
266,2,medium,bell pepper,Kikkoman Chinese Pepper Steak
267,2,medium,onion,Kikkoman Chinese Pepper Steak
268,1/4 cup,kikkoman preferably,hoisin sauce,Kikkoman Chinese Pepper Steak
269,2 teaspoons,,vegetable oil,Mongolian Beef and Spring Onions
270,1 tablespoon,finely chopped,garlic,Mongolian Beef and Spring Onions
271,1/2 teaspoon,grated fresh,ginger,Mongolian Beef and Spring Onions
272,1/2 cup,,soy sauce,Mongolian Beef and Spring Onions
273,1/2 cup,fresh,water,Mongolian Beef and Spring Onions
274,2/3 cup,dark,brown sugar,Mongolian Beef and Spring Onions
275,1 pound,flank,beef broth,Mongolian Beef and Spring Onions
276,1/4 cup,,cornstarch,Mongolian Beef and Spring Onions
277,1 cup,for frying,vegetable oil,Mongolian Beef and Spring Onions
278,2 bunches,green,onion,Mongolian Beef and Spring Onions
279,1 teaspoon,,sesame seed,Mongolian Beef I
280,1 tablespoon,,soy sauce,Mongolian Beef I
281,1 tablespoon,,cornstarch,Mongolian Beef I
282,2 cloves,minced,garlic,Mongolian Beef I
283,1 pound,round,beef steak,Mongolian Beef I
284,3/4 cup,,water,Mongolian Beef I
285,2 tablespoons,,soy sauce,Mongolian Beef I
286,2 1/2 teaspoons,,cornstarch,Mongolian Beef I
287,1/2 teaspoon,,sugar,Mongolian Beef I
288,1 teaspoon,,red pepper flake,Mongolian Beef I
289,2 tablespoons,divided,vegetable oil,Mongolian Beef I
290,2,thinly sliced,carrot,Mongolian Beef I
291,1 bunch,cut into 2 inch pieces,scallion,Mongolian Beef I
292,2 pounds,tip roast,beef sirloin,Mongolian Beef II
293,1/2 cup,,soy sauce,Mongolian Beef II
294,2 tablespoons,dry,sherry,Mongolian Beef II
295,2 teaspoons,,sesame oil,Mongolian Beef II
296,3 tablespoons,,cornstarch,Mongolian Beef II
297,2 tablespoons,,brown sugar,Mongolian Beef II
298,2 teaspoons,,red pepper flake,Mongolian Beef II
299,5 whole,red,chili pepper,Mongolian Beef II
300,3/8 cup,divided,vegetable oil,Mongolian Beef II
301,4 bunches,cut into 2 inch pieces,scallion,Mongolian Beef II
302,1/4 teaspoon,,salt,Pan-Fried Chinese Pancakes
303,3/4 cup,warm,water,Pan-Fried Chinese Pancakes
304,1 1/4 cup,,all purpose flour,Pan-Fried Chinese Pancakes
305,1/4 teaspoon,(optional),vegetable oil,Pan-Fried Chinese Pancakes
306,1 tablespoon,,vegetable oil,Pan-Fried Chinese Pancakes
307,1 tablespoon or ot taste,asian (toasted),sesame oil,Pan-Fried Chinese Pancakes
308,1/2 cup,finely chopped,scallion,Pan-Fried Chinese Pancakes
309,1 tablespoon or as needed,,vegetable oil,Pan-Fried Chinese Pancakes
310,1 (4 pound) whole,dressed,duck,Peking Duck
311,1/2 teaspoon,ground,cinnamon,Peking Duck
312,1/2 teaspoon,,ground ginger,Peking Duck
313,1/4 teaspoon,,ground nutmeg,Peking Duck
314,1/4 teaspoon,ground,bell pepper,Peking Duck
315,1/8 teaspoon,ground,clove,Peking Duck
316,3 tablespoons,,soy sauce,Peking Duck
317,1 tablespoon,,honey,Peking Duck
318,1,sliced in rounds,orange,Peking Duck
319,1 tablespoon,chopped fresh,parsley,Peking Duck
320,5,,scallion,Peking Duck
321,1/2 cup,,plum jam,Peking Duck
322,1 1/2 teaspoons,,sugar,Peking Duck
323,1 1/2 teaspoons,distilled,vinegar,Peking Duck
324,1/4 cup,finely chopped,chutney,Peking Duck
325,1 cup,uncooked,rice,Pineapple Fried Rice II
326,2 cups,,water,Pineapple Fried Rice II
327,2 tablespoons,,sesame oil,Pineapple Fried Rice II
328,3,thinly sliced including tops,scallion,Pineapple Fried Rice II
329,1 cup,diced,ham,Pineapple Fried Rice II
330,1/2 cup,,peas,Pineapple Fried Rice II
331,1 (8 ounce) can,chunks,pineapple,Pineapple Fried Rice II
332,1,beaten,egg,Pineapple Fried Rice II
333,1 tablespoon,,sugar,Pineapple Fried Rice II
334,1 teaspoon,,salt,Pineapple Fried Rice II
335,1/2 teaspoon,dried,bell pepper,Pineapple Fried Rice II
336,1/2 teaspoon,,garlic powder,Pineapple Fried Rice II
337,1/4 cup,,soy sauce,Pineapple Fried Rice II
338,1 pound,raw,shrimp,Potstickers (Chinese Dumplings)
339,4 pounds,,ground beef,Potstickers (Chinese Dumplings)
340,1 tablespoon,minced fresh,ginger,Potstickers (Chinese Dumplings)
341,1,minced,shallot,Potstickers (Chinese Dumplings)
342,1 bunch,chopped,scallion,Potstickers (Chinese Dumplings)
343,3 leaves,napa,cabbage,Potstickers (Chinese Dumplings)
344,2 tablespoons,,soy sauce,Potstickers (Chinese Dumplings)
345,1 teaspoon,asian (toasted),sesame oil,Potstickers (Chinese Dumplings)
346,to taste,,salt,Potstickers (Chinese Dumplings)
347,to taste,dried,bell pepper,Potstickers (Chinese Dumplings)
348,1 pinch,,sugar,Potstickers (Chinese Dumplings)
349,1 (10 ounce) package,round,wonton wrapper,Potstickers (Chinese Dumplings)
350,as needed,,vegetable oil,Potstickers (Chinese Dumplings)
351,1/4 cup,,water,Potstickers (Chinese Dumplings)
352,2 tablespoons,,vegetable oil,Quick Beef Stir-Fry
353,1 pound,cut into 2 inch strips,beef sirloin,Quick Beef Stir-Fry
354,1 1/2 cups,fresh florets,broccoli,Quick Beef Stir-Fry
355,1,red,bell pepper,Quick Beef Stir-Fry
356,2,thinly sliced,carrot,Quick Beef Stir-Fry
357,1,chopped,scallion,Quick Beef Stir-Fry
358,1 teaspoon,minced,garlic,Quick Beef Stir-Fry
359,2 tablespoons,,soy sauce,Quick Beef Stir-Fry
360,2 tablespoons,toasted,sesame seed,Quick Beef Stir-Fry
361,1 (8 ounce) package,made of rice,noodle,Quick Chinese-Style Vermicelli (Rice Noodles)
362,2 tablespoons,,vegetable oil,Quick Chinese-Style Vermicelli (Rice Noodles)
363,1 clove,minced,garlic,Quick Chinese-Style Vermicelli (Rice Noodles)
364,1 tablespoon,,soy sauce,Quick Chinese-Style Vermicelli (Rice Noodles)
365,1/2 tablespoon,,chili sauce,Quick Chinese-Style Vermicelli (Rice Noodles)
366,to taste,,chili pepper,Quick Chinese-Style Vermicelli (Rice Noodles)
367,to taste,,salt,Quick Chinese-Style Vermicelli (Rice Noodles)
368,1,chopped,scallion,Quick Chinese-Style Vermicelli (Rice Noodles)
369,4 cups,divided,chicken broth,Restaurant Style Egg Drop Soup
370,1/8 teaspoon,,ground ginger,Restaurant Style Egg Drop Soup
371,2 tablespoons,freshly chopped,chive,Restaurant Style Egg Drop Soup
372,1/4 teaspoon,,salt,Restaurant Style Egg Drop Soup
373,1 1/2 tablespoons,,cornstarch,Restaurant Style Egg Drop Soup
374,2,,egg,Restaurant Style Egg Drop Soup
375,1,made into yolk,egg,Restaurant Style Egg Drop Soup
376,1 pound,flank,beef steak,Slow Cooker Mongolian Beef
377,1/4 cup,,cornstarch,Slow Cooker Mongolian Beef
378,2 teaspoons,,olive oil,Slow Cooker Mongolian Beef
379,1,,onion flake,Slow Cooker Mongolian Beef
380,1 tablespoon,minced,garlic,Slow Cooker Mongolian Beef
381,3,large,scallion,Slow Cooker Mongolian Beef
382,1/2 cup,,soy sauce,Slow Cooker Mongolian Beef
383,1/2 cup,,water,Slow Cooker Mongolian Beef
384,1/2 cup,,brown sugar,Slow Cooker Mongolian Beef
385,1/2 teaspoon,minced fresh,ginger,Slow Cooker Mongolian Beef
386,1/2 cup,,hoisin sauce,Slow Cooker Mongolian Beef
387,1/4 cup,,cornstarch,Spicy Crispy Beef
388,1/4 tablespoon,,salt,Spicy Crispy Beef
389,to taste,,peppercorn,Spicy Crispy Beef
390,12 ounces,flank,beef steak,Spicy Crispy Beef
391,1 quart,for frying,canola oil,Spicy Crispy Beef
392,4 tablespoons,,soy sauce,Spicy Crispy Beef
393,1 tablespoon,,rice vinegar,Spicy Crispy Beef
394,1/2 tablespoon,,rice wine,Spicy Crispy Beef
395,1 1/2 tablespoons,,honey,Spicy Crispy Beef
396,7 tablespoons,,sugar,Spicy Crispy Beef
397,1/2 tablespoon,,chili paste,Spicy Crispy Beef
398,1/4 cup,,water,Spicy Crispy Beef
399,3 tablespoons,fresh chopped,ginger,Spicy Crispy Beef
400,1 tablespoon,,vegetable oil,Spicy Crispy Beef
401,2 cloves,chopped,garlic,Spicy Crispy Beef
402,1/4 cup,sliced,onion,Spicy Crispy Beef
403,1/4 cup,red,bell pepper,Spicy Crispy Beef
404,1 pound,cut into 1/2 inch strips,beef tenderloin,Spicy Orange Zest Beef
405,1/4 cup,,orange juice,Spicy Orange Zest Beef
406,1/4 cup,seasoned,rice vinegar,Spicy Orange Zest Beef
407,2 tablespoons,,soy sauce,Spicy Orange Zest Beef
408,1 tablespoon,hot chilli,chili paste,Spicy Orange Zest Beef
409,1 tablespoon or to taste,,brown sugar,Spicy Orange Zest Beef
410,2 cloves,minced,garlic,Spicy Orange Zest Beef
411,1/4 cup,,water,Spicy Orange Zest Beef
412,1 teaspoon,,cornstarch,Spicy Orange Zest Beef
413,1,,cooking spray,Spicy Orange Zest Beef
414,2 tablespoons,zested,orange,Spicy Orange Zest Beef
415,1 bunch,sliced,scallion,Spicy Orange Zest Beef
416,to taste,,salt,Spicy Orange Zest Beef
417,to taste,ground,peppercorn,Spicy Orange Zest Beef
418,1 pound,preferably hallibut fish,fish fillets,Steamed Fish with Ginger
419,1 teaspoon,preferably kosher,salt,Steamed Fish with Ginger
420,1 tablespoon,fresh minced,ginger,Steamed Fish with Ginger
421,3 tablespoons,thinly sliced,scallion,Steamed Fish with Ginger
422,1 tablespoon,dark,soy sauce,Steamed Fish with Ginger
423,1 tablespoon,light,soy sauce,Steamed Fish with Ginger
424,1 tablespoon,,peanut oil,Steamed Fish with Ginger
425,2 teaspoons,toasted,sesame oil,Steamed Fish with Ginger
426,1/4 cup,springs,cilantro,Steamed Fish with Ginger
427,1/4 cup,,soy sauce,"Super-Simple, Super-Spicy Mongolian Beef"
428,1 tablespoon,,hoisin sauce,"Super-Simple, Super-Spicy Mongolian Beef"
429,1 tablespoon,,sesame oil,"Super-Simple, Super-Spicy Mongolian Beef"
430,2 teaspoons,,sugar,"Super-Simple, Super-Spicy Mongolian Beef"
431,1 tablespoon,minced,garlic,"Super-Simple, Super-Spicy Mongolian Beef"
432,1 tablespoon,(optional),red pepper flake,"Super-Simple, Super-Spicy Mongolian Beef"
433,1 pound,flank,beef steak,"Super-Simple, Super-Spicy Mongolian Beef"
434,1 tablespoon,,peanut oil,"Super-Simple, Super-Spicy Mongolian Beef"
435,2,large,scallion,"Super-Simple, Super-Spicy Mongolian Beef"
436,1 (1 1/4 pound),tenderloin,pork,Sweet and Sour Pork Tenderloin
437,to taste,,salt,Sweet and Sour Pork Tenderloin
438,to taste,ground,peppercorn,Sweet and Sour Pork Tenderloin
439,1/3 cup,,ketchup,Sweet and Sour Pork Tenderloin
440,1/3 cup,seasoned,rice vinegar,Sweet and Sour Pork Tenderloin
441,1 (8 ounce) can,chunks,pineapple,Sweet and Sour Pork Tenderloin
442,2 tablespoons,,brown sugar,Sweet and Sour Pork Tenderloin
443,4 cloves,minced,garlic,Sweet and Sour Pork Tenderloin
